Error,ExternalID,Name,Description,Version,level,Parentnode,Is include
You cannot set the same parent node for two nodes with the same name. Please select a different parent node or change the node name.,Fashion : Clothing : Knit jumper : Crew neck : Gg 14,Gg 14,,OB 2023 version1,Type Detail,Fashion : Clothing : Knit jumper : Crew neck,TRUE
You cannot set the same parent node for two nodes with the same name. Please select a different parent node or change the node name.,Fashion : Clothing : Knit jumper : Crew neck : Gg 3,Gg 3,,OB 2023 version1,Type Detail,Fashion : Clothing : Knit jumper : Crew neck,TRUE
You cannot set the same parent node for two nodes with the same name. Please select a different parent node or change the node name.,Fashion : Clothing : Knit jumper : Crew neck : Gg 5,Gg 5,,OB 2023 version1,Type Detail,Fashion : Clothing : Knit jumper : Crew neck,TRUE
You cannot set the same parent node for two nodes with the same name. Please select a different parent node or change the node name.,Fashion : Clothing : Knit jumper : Crew neck : Gg 7,Gg 7,,OB 2023 version1,Type Detail,Fashion : Clothing : Knit jumper : Crew neck,TRUE
You cannot set the same parent node for two nodes with the same name. Please select a different parent node or change the node name.,Fashion : Clothing : Knit jumper : Funnel neck : Gg 5,Gg 5,,OB 2023 version1,Type Detail,Fashion : Clothing : Knit jumper : Funnel neck,TRUE
You cannot set the same parent node for two nodes with the same name. Please select a different parent node or change the node name.,Fashion : Clothing : Knit jumper : Roll neck : Gg 3,Gg 3,,OB 2023 version1,Type Detail,Fashion : Clothing : Knit jumper : Roll neck,TRUE
You cannot set the same parent node for two nodes with the same name. Please select a different parent node or change the node name.,Fashion : Clothing : Knit jumper : Roll neck : Gg 5,Gg 5,,OB 2023 version1,Type Detail,Fashion : Clothing : Knit jumper : Roll neck,TRUE
You cannot set the same parent node for two nodes with the same name. Please select a different parent node or change the node name.,Fashion : Clothing : Knit jumper : Roll neck : Gg 7,Gg 7,,OB 2023 version1,Type Detail,Fashion : Clothing : Knit jumper : Roll neck,TRUE
You cannot set the same parent node for two nodes with the same name. Please select a different parent node or change the node name.,Fashion : Clothing : Knit jumper : Slash neck : Gg 5,Gg 5,,OB 2023 version1,Type Detail,Fashion : Clothing : Knit jumper : Slash neck,TRUE
You cannot set the same parent node for two nodes with the same name. Please select a different parent node or change the node name.,Fashion : Clothing : Knit jumper : Slash neck : Gg 7,Gg 7,,OB 2023 version1,Type Detail,Fashion : Clothing : Knit jumper : Slash neck,TRUE
You cannot set the same parent node for two nodes with the same name. Please select a different parent node or change the node name.,Fashion : Clothing : Knit jumper : Square neck : Gg 12,Gg 12,,OB 2023 version1,Type Detail,Fashion : Clothing : Knit jumper : Square neck,TRUE
You cannot set the same parent node for two nodes with the same name. Please select a different parent node or change the node name.,Fashion : Clothing : Knit jumper : Square neck : Gg 7,Gg 7,,OB 2023 version1,Type Detail,Fashion : Clothing : Knit jumper : Square neck,TRUE
You cannot set the same parent node for two nodes with the same name. Please select a different parent node or change the node name.,Fashion : Clothing : Knit jumper : Zip up : Gg 7,Gg 7,,OB 2023 version1,Type Detail,Fashion : Clothing : Knit jumper : Zip up,TRUE
